Designator,Mid X,Mid Y,Rotation,Layer
R14,275.06,-105.5,180.0,bottom
R15,265.06,-97.5,180.0,bottom
R16,265.06,-105.5,180.0,bottom
R17,229.41,-78.94,-90.0,bottom
R19,221.0,-119.42,90.0,bottom
R20,232.41,-78.94,-90.0,bottom
R201,271.76,-82.5,180.0,bottom
R202,294.9,-208.5,180.0,bottom
R203,295.6,-200.5,-90.0,bottom
R204,292.6,-200.5,-90.0,bottom
R205,294.1,-200.5,90.0,bottom
R206,241.19,-71.45,0.0,bottom
R207,251.19,-71.45,0.0,bottom
R22,195.4,-118.99,-90.0,bottom
R23,189.0,-91.915,-90.0,bottom
R24,195.0,-102.69,-90.0,bottom
R25,161.25,-85.44,-90.0,bottom
R26,154.75,-85.44,-90.0,bottom
R27,177.06,-73.25,180.0,bottom
R28,158.0,-85.44,-90.0,bottom
R29,154.19,-97.75,0.0,bottom
R3,223.41,-86.56,90.0,bottom
R30,136.19,-107.25,0.0,bottom
R301,207.75,-203.69,-90.0,bottom
R31,123.2,-92.09,-90.0,bottom
R32,113.2,-105.4,-90.0,bottom
R33,274.5,-109.94,-90.0,bottom
R34,269.75,-117.56,90.0,bottom
R35,241.44,-106.0,0.0,bottom
R37,221.0,-95.89,-90.0,bottom
R38,226.41,-86.56,90.0,bottom
R39,235.5,-124.885,-90.0,bottom
R4,212.06,-73.25,180.0,bottom
R40,221.0,-124.79,-90.0,bottom
R41,221.0,-140.98,-90.0,bottom
R43,189.0,-118.99,-90.0,bottom
R44,163.5,-130.81,90.0,bottom
R45,192.2,-91.915,-90.0,bottom
R47,152.0,-123.19,-90.0,bottom
R48,161.81,-107.0,180.0,bottom
R49,152.0,-120.81,90.0,bottom
R5,204.44,-76.5,0.0,bottom
R50,121.75,-121.385,90.0,bottom
R501,192.2,-118.99,-90.0,bottom
R51,125.0,-121.41,90.0,bottom
R52,143.81,-104.25,180.0,bottom
R53,120.2,-92.09,-90.0,bottom
R54,98.4,-118.19,-90.0,bottom
R55,118.5,-121.385,90.0,bottom
R57,229.5,-124.885,-90.0,bottom
R58,226.5,-132.505,90.0,bottom
R59,250.94,-136.75,0.0,bottom
R6,177.06,-76.5,180.0,bottom
R60,226.4,-111.79,-90.0,bottom
R61,202.6,-148.19,-90.0,bottom
R62,235.4,-119.41,90.0,bottom
R63,232.5,-132.505,90.0,bottom
R64,199.6,-155.81,90.0,bottom
R65,229.4,-111.79,-90.0,bottom
R66,237.0,-101.56,90.0,bottom
R67,232.4,-111.79,-90.0,bottom
R68,218.0,-140.99,-90.0,bottom
R69,178.81,-139.2,180.0,bottom
R7,190.63,-81.94,-90.0,bottom
R70,171.19,-142.2,0.0,bottom
R701,117.2,-151.39,-90.0,bottom
R702,120.4,-159.01,90.0,bottom
R703,123.6,-159.01,90.0,bottom
R704,126.8,-151.39,-90.0,bottom
R71,166.5,-148.81,90.0,bottom
R72,193.77,-89.56,90.0,bottom
R73,171.19,-136.2,0.0,bottom
R74,163.5,-141.19,-90.0,bottom
R75,143.685,-136.85,180.0,bottom
R76,149.0,-148.81,90.0,bottom
R77,152.0,-141.19,-90.0,bottom
R78,94.9,-137.56,90.0,bottom
R79,266.31,-173.5,180.0,bottom
R8,93.31,-89.5,180.0,bottom
R80,260.0,-193.31,90.0,bottom
R81,265.0,-185.69,-90.0,bottom
R82,256.0,-176.19,-90.0,bottom
R83,186.81,-167.5,180.0,bottom
R84,179.19,-158.5,0.0,bottom
R85,186.81,-164.5,180.0,bottom
R86,179.19,-161.5,0.0,bottom
R87,166.5,-151.19,-90.0,bottom
R88,152.0,-158.81,90.0,bottom
R89,149.0,-151.19,-90.0,bottom
R9,93.31,-92.75,180.0,bottom
R90,156.56,-162.5,180.0,bottom
R91,163.5,-158.81,90.0,bottom
R92,158.94,-162.5,0.0,bottom
R93,285.81,-154.6,180.0,bottom
R94,256.0,-203.69,-90.0,bottom
R95,266.31,-201.0,180.0,bottom
R96,221.31,-201.0,180.0,bottom
R97,286.41,-202.2,180.0,bottom
R98,233.5,-203.69,-90.0,bottom
R99,243.81,-201.0,180.0,bottom
